,Title,Location,description,Condition
0,"GH₵ 260,000","Greater Accra, Tesano",Honda Accord Touring 2.0T 2018 White,Foreign Used
1,"GH₵ 56,000","Greater Accra, Ridge",Toyota Corolla 2010 Gray,Ghanaian Used
2,"GH₵ 72,000","Greater Accra, Tesano",Hyundai Sonata 2013 Black,Foreign Used
3,"GH₵ 17,000","Greater Accra, Accra Metropolitan",Daewoo Matiz 2009 Green,Ghanaian Used
4,"GH₵ 330,000","Greater Accra, East Legon",Mercedes-Benz E300 2017 Gray,Foreign Used
5,"GH₵ 160,000","Greater Accra, Achimota",Toyota Land Cruiser 2009 Black,Ghanaian Used
6,"GH₵ 145,000","Greater Accra, Spintex",Honda CR-V EX 4dr SUV (2.4L 4cyl 5A) 2014 Gray,Foreign Used
7,"GH₵ 275,000","Greater Accra, Achimota",Honda CR-V Touring AWD 2019 Blue,Foreign Used
8,"GH₵ 150,000","Greater Accra, Agbogba",Nissan Hardbody 2400i 2005 White,Ghanaian Used
9,"GH₵ 130,000","Greater Accra, Tema Metropolitan",Toyota Camry 2012 Black,Foreign Used
10,"GH₵ 145,000","Greater Accra, Tema Metropolitan",Toyota Corolla 2016 Black,Foreign Used
11,"GH₵ 229,999","Ashanti, Kumasi Metropolitan",Toyota RAV4 2018 Blue,Foreign Used
12,"GH₵ 157,000","Greater Accra, Ga East Municipal",Honda Accord 2020 Black,Ghanaian Used
13,"GH₵ 135,000","Greater Accra, Accra Metropolitan",Hyundai Tucson Limited AWD 2013 Silver,Foreign Used
14,"GH₵ 68,000","Greater Accra, Agbogba",Hyundai Elantra GLS 2012 Blue,Ghanaian Used
15,"GH₵ 48,500","Ashanti, Kumasi Metropolitan",Hyundai Veloster 2013 Gray,Foreign Used
16,"GH₵ 95,000","Greater Accra, Airport Residential Area",Hyundai Elantra 2014 Blue,Foreign Used
17,"GH₵ 37,000","Ashanti, Kumasi Metropolitan",Toyota Camry 2008 Gray,Ghanaian Used
18,"GH₵ 360,000","Greater Accra, Tesano",Toyota RAV4 XLE AWD 2020 Silver,Foreign Used
19,"GH₵ 60,000","Greater Accra, Dome",Honda Accord 2016 Burgandy,Ghanaian Used
20,"GH₵ 19,000","Greater Accra, Kokomlemle",Honda Accord Sedan VP Automatic 2006 Black,Ghanaian Used
21,"GH₵ 75,000","Greater Accra, Lartebiokoshie",Toyota Camry 2014 White,Ghanaian Used
22,"GH₵ 190,000","Greater Accra, Tesano",Honda CR-V 2017 Silver,Ghanaian Used
23,"GH₵ 158,000","Greater Accra, Tesano",Honda Accord 2017 Silver,Foreign Used
24,"GH₵ 110,000","Greater Accra, East Legon",Toyota Corolla 2013 White,Foreign Used
25,"GH₵ 130,000","Greater Accra, East Legon",Toyota Corolla 2016 Red,Foreign Used
26,"GH₵ 285,000","Greater Accra, East Legon",Honda CR-V EX-L AWD 2020 White,Foreign Used
