,Title,Location,description,Condition
0,"GH₵ 355,000","Greater Accra, East Legon",Mercedes-Benz E300 2017 Gray,Foreign Used
1,GH₵ 150,"Greater Accra, Abossey Okai",Toyota Ignition Coil,Used
2,GH₵ 250,"Greater Accra, Abossey Okai",Toyota Tyres,Brand New
3,"GH₵ 1,100","Greater Accra, Abossey Okai",Ford F150 Tires,Brand New
4,GH₵ 200,"Greater Accra, Abossey Okai",Jack and Wheel Spammer,Brand New
5,"GH₵ 1,000","Greater Accra, Abossey Okai",Seat Covers20,Brand New
6,"GH₵ 1,000","Greater Accra, Abossey Okai",Luxury Black 9D Seat Covers,Brand New
7,GH₵ 350,"Greater Accra, Accra Metropolitan","All Kinds of Body Parts( American,German,Canada)",Brand New
8,GH₵ 100,"Greater Accra, Abossey Okai",Lower Arm Bushings,Brand New
9,"GH₵ 20,000","Greater Accra, Abossey Okai",(Corolla-2020)All Kinds of Front Cut Available,Used
10,GH₵ 300,"Greater Accra, Abossey Okai",Rim 15 Ring Wheel Caps 4 Set,Brand New
11,GH₵ 600,"Greater Accra, Abossey Okai",Gucci Seat Covers,Brand New
12,GH₵ 400,"Greater Accra, Abossey Okai",Police Lights,Brand New
13,GH₵ 400,"Greater Accra, Abossey Okai",Brown Seat Covers,Brand New
14,GH₵ 80,"Greater Accra, Abossey Okai",Fire Extinguishers,Brand New
15,GH₵ 200,"Greater Accra, Abossey Okai",Seat Support Black,Brand New
16,GH₵ 300,"Greater Accra, Abossey Okai",Grey Seat Cover/,Brand New
17,GH₵ 200,"Greater Accra, Abossey Okai",Fender Linning,Brand New
18,GH₵ 200,"Greater Accra, Abossey Okai",Jack and Wheel Spammer,Brand New
19,GH₵ 850,"Greater Accra, Abossey Okai",Universal Towing Bar for All Cars,Brand New
20,GH₵ 300,"Greater Accra, Abossey Okai",Grey Seat Cover/,Brand New
21,GH₵ 200,"Greater Accra, Abossey Okai",Ash Seat Support,Brand New
22,"GH₵ 1,000","Greater Accra, Abossey Okai",Universal Headrest Monitors,Brand New
23,"GH₵ 1,000","Greater Accra, Abossey Okai",Seat Covers20,Brand New
24,GH₵ 100,"Greater Accra, Abossey Okai",Lower Arm Bushings,Brand New
25,GH₵ 350,"Greater Accra, Accra Metropolitan","All Kinds of Body Parts( American,German,Canada)",Brand New
26,GH₵ 900,"Greater Accra, Abossey Okai",V.I.P Seat Covers,Brand New
27,GH₵ 400,"Greater Accra, Abossey Okai",Brown Seat Covers,Brand New
28,"GH₵ 1,000","Greater Accra, Abossey Okai",Headrest Monitors:,Brand New
29,GH₵ 300,"Greater Accra, Abossey Okai",Rim 15 Ring Wheel Caps 4 Set,Brand New
30,GH₵ 200,"Greater Accra, Abossey Okai",Seat Support’,Brand New
31,GH₵ 550,"Greater Accra, Abossey Okai",Double Ash Seat Covers,Brand New
32,GH₵ 250,"Greater Accra, Accra Metropolitan",Portable Corded Car Vacuum Cleaner Household Dual Purpose,Brand New
33,GH₵ 400,"Greater Accra, Abossey Okai",Beige Black Seat Covers,Brand New
34,GH₵ 150,"Greater Accra, Abossey Okai",Woolen Floor Mats,Brand New
35,GH₵ 900,"Greater Accra, Abossey Okai",Vip Seat Covers Black,Used
36,GH₵ 320,"Greater Accra, Abossey Okai",Blue and Black Seat Covers,Brand New
37,GH₵ 160,"Greater Accra, Abossey Okai",No 1 Floor Mat,Brand New
38,GH₵ 540,"Greater Accra, Abossey Okai",15 Plated Brand New Car Batteries,Brand New
39,"GH₵ 2,800","Greater Accra, Abossey Okai",Ford Focus Steering Rack,Brand New
40,GH₵ 200,"Greater Accra, Abossey Okai",Chelsea Mat,Brand New
41,"GH₵ 15,000","Greater Accra, Abossey Okai",Nissan Rogue Gearbox,Used
42,GH₵ 500,"Greater Accra, Abossey Okai",Honda Civic Original Fender Lining Covers,Brand New
43,GH₵ 320,"Greater Accra, Abossey Okai",Red and Black Seat Covers;,Brand New
44,GH₵ 400,"Greater Accra, Abossey Okai","Black Seat Covers,",Brand New
45,GH₵ 500,"Greater Accra, Abossey Okai",Honda Civic Original Fender Lining Covers,Brand New
46,GH₵ 320,"Greater Accra, Abossey Okai",Red and Black Seat Covers;,Brand New
47,GH₵ 400,"Greater Accra, Abossey Okai","Black Seat Covers,",Brand New
48,GH₵ 500,"Greater Accra, Abossey Okai",Car Hub for All Cars,Brand New
49,"GH₵ 2,500","Greater Accra, Abossey Okai",Escape 2017 Bonnet,Brand New
50,"GH₵ 1,200","Greater Accra, Abossey Okai",Luxury All Black Seat Covers,Brand New
51,GH₵ 200,"Greater Accra, Abossey Okai",Grey Woolen Floor-Mat,Brand New
52,GH₵ 260,"Greater Accra, Abossey Okai",2 Front Brown Seat Support,Brand New
53,GH₵ 320,"Greater Accra, Abossey Okai",Car Wheel Covers,Brand New
54,GH₵ 700,"Greater Accra, Abossey Okai",Black Grey Seat Covers,Brand New
55,"GH₵ 6,000","Greater Accra, Abossey Okai",Car Rims All Cars,Brand New
56,GH₵ 100,"Greater Accra, Abossey Okai",Car Lower Arm Bushings Available,Brand New
57,"GH₵ 1,200","Greater Accra, Abossey Okai",Luxury All Black Seat Covers,Brand New
58,"GH₵ 1,200","Greater Accra, Abossey Okai",Luxury Car Seat Covers,Brand New
59,GH₵ 320,"Greater Accra, Abossey Okai",Blue and Black Seat Covers,Brand New
60,GH₵ 400,"Greater Accra, Abossey Okai","Black Seat Covers,",Brand New
61,GH₵ 180,"Greater Accra, Abossey Okai",Seat Support :,Brand New
62,GH₵ 200,"Greater Accra, Abossey Okai",Grey Woolen Floor-Mat,Brand New
63,GH₵ 150,"Greater Accra, Abossey Okai",Woolen Floor Mats,Brand New
64,GH₵ 600,"Greater Accra, Abossey Okai",Brand New Shocks,Brand New
65,"GH₵ 1,000","Greater Accra, Abossey Okai",Seat Covers13,Brand New
66,GH₵ 320,"Greater Accra, Abossey Okai",Wheel Caps Toyota,Brand New
67,GH₵ 80,"Greater Accra, Abossey Okai",Fire Extinguishers,Brand New
68,GH₵ 320,"Greater Accra, Abossey Okai",Universal Wheel Covers,Brand New
69,GH₵ 260,"Greater Accra, Abossey Okai",2 Front Seat Support,Brand New
70,GH₵ 160,"Greater Accra, Abossey Okai",No 1 Floor Mat,Brand New
71,GH₵ 350,"Greater Accra, Abossey Okai",Beige Black Seat-Covers,Brand New
72,GH₵ 700,"Greater Accra, Abossey Okai",Black Grey Seat Cover,Brand New
73,"GH₵ 1,800","Greater Accra, Abossey Okai",Civic 2016 Airbag,Used
