,Description,Condition,Price,Location
0,Toyota Corolla 1.6 Sedan Automatic 2002 Black,Ghanaian Used,,"Ashanti, Kumasi Metropolitan"
1,Car Mp5 Player With Bluetooth and GPS,Brand New,450.0,"Greater Accra, Abossey Okai"
2,Foyu Cam Coder,Brand New,160.0,"Greater Accra, Spintex"
3,Sun Shades,Used,350.0,"Greater Accra, Abossey Okai"
4,Original Rims All in Sizes,Brand New,,"Greater Accra, Darkuman"
5,Android System,Brand New,,"Greater Accra, Abossey Okai"
6,Bumper Spoiler,Brand New,450.0,"Greater Accra, Abossey Okai"
7,Pure Leather Seats and Car Cover Dealer Contact Us Now,Brand New,,"Greater Accra, Dansoman"
8,Car Floorr Mat,Brand New,90.0,"Greater Accra, Abossey Okai"
9,Car LED Light,Brand New,300.0,"Greater Accra, Abossey Okai"
10,Mud Gard Rubbers,Brand New,100.0,"Greater Accra, Darkuman"
11,Full Metallic Bumper for Toyota Cruiser,Brand New,,"Central Region, Gomoa East"
12,Android Intelligence Navigation System(Car Prices Differ),Brand New,,"Greater Accra, Adabraka"
13,(Rav4-09)All Kinds Of Doors Bonnet And Boot Available,Used,,"Greater Accra, Abossey Okai"
14,Vonhaus Automatic Car Battery Charger /Trickle Charger 15A,Brand New,499.0,"Greater Accra, Dansoman"
15,GPS Tracker Real Time Tracking,Brand New,500.0,"Greater Accra, Tema Metropolitan"
16,Sinotrack Vehicle GPS Tracker,Brand New,300.0,"Greater Accra, Ledzokuku-Krowor"
17,Elantra 2017 Front Crown,Brand New,150.0,"Greater Accra, Abossey Okai"
18,Highlander - 2009 All Kinds of Foglight Cover Available,Used,150.0,"Greater Accra, Abossey Okai"
19,(Honda Civic-16)All Kinds of Side Mirror Available,Brand New,,"Greater Accra, Abossey Okai"
20,Toyota RAV4 2017 Front N Back Bumper Headlight Tail Lights,Brand New,,"Greater Accra, Abossey Okai"
21,(Corolla-03/08)All Kinds Front Beam Available,Brand New,,"Greater Accra, Abossey Okai"
22,Truck Winch,Brand New,,"Central Region, Gomoa East"
23,Hyundai 18 Used,Used,,"Greater Accra, Darkuman"
24,All Kinds of Outside and Inside Openers Available,Brand New,130.0,"Greater Accra, Abossey Okai"
25,(Honda HRV-18)All Kinds of Door Bonnet and Fenders Available,Used,,"Greater Accra, Abossey Okai"
26,(Hyundai Elantra-17)All Kinds Of Doors And Boots Available,Used,,"Greater Accra, Abossey Okai"
27,Elantra 2017 Front Crown,Brand New,150.0,"Greater Accra, Abossey Okai"
28,Chevrolet Cruze Bash Board,Used,,"Greater Accra, Ridge"
29,Honda Push Start Smart Key,Brand New,350.0,"Greater Accra, Tema Metropolitan"
30,Original Rims All Types,Brand New,,"Greater Accra, Darkuman"
31,Ford Edge 2017 Boot Lights,Brand New,,"Greater Accra, Abossey Okai"
32,Towing Sling/Towing Rope/Tow Rope With Hooks,Brand New,140.0,"Greater Accra, Abokobi"
33,Powerflex Pressure Washers,Brand New,,"Greater Accra, Spintex"
34,Sonata 2013 Spolier,Brand New,400.0,"Greater Accra, Abossey Okai"
35,(Kia Forte 2016)All Kinds of Shocks Absorber Available,Used,400.0,"Greater Accra, Abossey Okai"
36,(Honda Civic-16)All Kinds of Side Mirror Available,Brand New,,"Greater Accra, Abossey Okai"
37,Emergency Puncture Sealer Inflator,Brand New,100.0,"Greater Accra, Kaneshie"
38,Toyato Corolla 09 Front Bumper,Brand New,750.0,"Greater Accra, Abossey Okai"
39,(Nissan B-17)All Kinds of Shocks Absorber Available,Used,450.0,"Greater Accra, Abossey Okai"
40,Parking Sensor,Brand New,500.0,"Greater Accra, Abossey Okai"
41,Original Rim in All Sizes,Brand New,,"Greater Accra, Darkuman"
42,Car Remote Covers,Brand New,100.0,"Greater Accra, Abossey Okai"
43,Toyota Carpet,Brand New,350.0,"Greater Accra, Abossey Okai"
44,Ingco Auto Air Compressor,Brand New,975.0,"Greater Accra, Spintex"
45,Gps Car Monitoring Tracker,Brand New,500.0,"Greater Accra, Tema Metropolitan"
46,Kia Sorenta 2012 DVD PLAYER,Brand New,,"Greater Accra, Abossey Okai"
47,2018 Accord Front Grille,Brand New,900.0,"Greater Accra, Spintex"
48,(Daewoo Kalos)All Kinds of Shocks Absorber Available,Used,200.0,"Greater Accra, Abossey Okai"
49,Ford Explorer Lower Arm,Brand New,,"Greater Accra, Abossey Okai"
50,02/910140a - JCB Fuel Filter,Brand New,46.0,"Greater Accra, Accra Metropolitan"
51,Car Alarrrm System,Brand New,250.0,"Greater Accra, Abossey Okai"
