,id,Description,Condition,price,Regions,Location
0,0,Mercedes-Benz E300 2017 Gray,Foreign Used,355000,Greater Accra region, East Legon
1,1,Toyota Ignition Coil,Used,150,Greater Accra region, Abossey Okai
2,2,Toyota Tyres,Brand New,250,Greater Accra region, Abossey Okai
3,3,Ford F150 Tires,Brand New,1100,Greater Accra region, Abossey Okai
4,4,Jack and Wheel Spammer,Brand New,200,Greater Accra region, Abossey Okai
5,5,Seat Covers20,Brand New,1000,Greater Accra region, Abossey Okai
6,6,Luxury Black 9D Seat Covers,Brand New,1000,Greater Accra region, Abossey Okai
7,7,"All Kinds of Body Parts( American,German,Canada)",Brand New,350,Greater Accra region, Accra Metropolitan
8,8,Lower Arm Bushings,Brand New,100,Greater Accra region, Abossey Okai
9,9,(Corolla-2020)All Kinds of Front Cut Available,Used,20000,Greater Accra region, Abossey Okai
10,10,Rim 15 Ring Wheel Caps 4 Set,Brand New,300,Greater Accra region, Abossey Okai
11,11,Gucci Seat Covers,Brand New,600,Greater Accra region, Abossey Okai
12,12,Police Lights,Brand New,400,Greater Accra region, Abossey Okai
13,13,Brown Seat Covers,Brand New,400,Greater Accra region, Abossey Okai
14,14,Fire Extinguishers,Brand New,80,Greater Accra region, Abossey Okai
15,15,Seat Support Black,Brand New,200,Greater Accra region, Abossey Okai
16,16,Grey Seat Cover/,Brand New,300,Greater Accra region, Abossey Okai
17,17,Fender Linning,Brand New,200,Greater Accra region, Abossey Okai
18,18,Jack and Wheel Spammer,Brand New,200,Greater Accra region, Abossey Okai
19,19,Universal Towing Bar for All Cars,Brand New,850,Greater Accra region, Abossey Okai
20,20,Grey Seat Cover/,Brand New,300,Greater Accra region, Abossey Okai
21,21,Ash Seat Support,Brand New,200,Greater Accra region, Abossey Okai
22,22,Universal Headrest Monitors,Brand New,1000,Greater Accra region, Abossey Okai
23,23,Seat Covers20,Brand New,1000,Greater Accra region, Abossey Okai
24,24,Lower Arm Bushings,Brand New,100,Greater Accra region, Abossey Okai
25,25,"All Kinds of Body Parts( American,German,Canada)",Brand New,350,Greater Accra region, Accra Metropolitan
26,26,V.I.P Seat Covers,Brand New,900,Greater Accra region, Abossey Okai
27,27,Brown Seat Covers,Brand New,400,Greater Accra region, Abossey Okai
28,28,Headrest Monitors:,Brand New,1000,Greater Accra region, Abossey Okai
29,29,Rim 15 Ring Wheel Caps 4 Set,Brand New,300,Greater Accra region, Abossey Okai
30,30,Seat Support’,Brand New,200,Greater Accra region, Abossey Okai
31,31,Double Ash Seat Covers,Brand New,550,Greater Accra region, Abossey Okai
32,32,Portable Corded Car Vacuum Cleaner Household Dual Purpose,Brand New,250,Greater Accra region, Accra Metropolitan
33,33,Beige Black Seat Covers,Brand New,400,Greater Accra region, Abossey Okai
34,34,Woolen Floor Mats,Brand New,150,Greater Accra region, Abossey Okai
35,35,Vip Seat Covers Black,Used,900,Greater Accra region, Abossey Okai
36,36,Blue and Black Seat Covers,Brand New,320,Greater Accra region, Abossey Okai
37,37,No 1 Floor Mat,Brand New,160,Greater Accra region, Abossey Okai
38,38,15 Plated Brand New Car Batteries,Brand New,540,Greater Accra region, Abossey Okai
39,39,Ford Focus Steering Rack,Brand New,2800,Greater Accra region, Abossey Okai
40,40,Chelsea Mat,Brand New,200,Greater Accra region, Abossey Okai
41,41,Nissan Rogue Gearbox,Used,15000,Greater Accra region, Abossey Okai
42,42,Honda Civic Original Fender Lining Covers,Brand New,500,Greater Accra region, Abossey Okai
43,43,Red and Black Seat Covers;,Brand New,320,Greater Accra region, Abossey Okai
44,44,"Black Seat Covers,",Brand New,400,Greater Accra region, Abossey Okai
